DATE,FBE,BTCDR,CRYPT,FBEDR,FFL,TBE
17/11/2014,1.42,-0.032794285,,0,-0.017391304,-0.010752688
18/11/2014,1.42,0.015034466,,-0.021126761,0.004424779,-0.005434783
19/11/2014,1.39,-0.060014239,,0.014388489,0.008810573,0.010928962
20/11/2014,1.41,-0.018082778,,0.021276596,-0.004366812,0.005405405
21/11/2014,1.44,0.005533275,,-0.002314815,0.001461988,0
22/11/2014,1.436666667,0.041596725,,-0.002320186,0.001459854,0
23/11/2014,1.433333333,0.023542808,,-0.002325581,0.001457726,0
24/11/2014,1.43,-0.004327843,,0.027972028,-0.026200873,-0.005376344
25/11/2014,1.47,-0.021159944,,-0.020408163,-0.013452915,-0.016216216
26/11/2014,1.44,0.006726311,,-0.017361111,-0.002272727,-0.008241758
27/11/2014,1.415,0.0202173,,-0.017667845,-0.002277904,-0.008310249
28/11/2014,1.39,-0.003904447,,0,0,0
29/11/2014,1.39,0.007195088,,0,0,0
30/11/2014,1.39,0.002987553,,0,0,0
1/12/14,1.39,0.006181366,,-0.021582734,-0.00456621,-0.011173184
2/12/14,1.36,-0.016999772,,0.014705882,0.009174312,0.011299435
3/12/14,1.38,-0.016406287,,-0.014492754,-0.009090909,-0.011173184
4/12/14,1.36,0.020457046,,-0.007352941,-0.013761468,-0.011299435
5/12/14,1.35,-0.004867026,,-0.027160494,0.004651163,-0.007619047
6/12/14,1.313333333,0.000995243,,-0.027918781,0.00462963,-0.007677544
7/12/14,1.276666667,-0.035371952,,-0.028720627,0.004608295,-0.007736944
8/12/14,1.24,-0.028475818,,0.080645161,-0.027522936,0.011695906
9/12/14,1.34,-0.012085408,,-0.052238806,0.014150943,-0.011560694
10/12/14,1.27,0.009138231,,0,-0.009302326,-0.005847953
11/12/14,1.27,0.005808745,,-0.05511811,-0.023474178,-0.035294118
12/12/14,1.2,-0.014140159,,-0.008333333,-0.001602564,-0.004065041
13/12/2014,1.19,0.011960628,,-0.008403361,-0.001605137,-0.004081632
14/12/2014,1.18,-0.018580438,,-0.008474576,-0.001607717,-0.004098361
15/12/2014,1.17,-0.048180799,,0.034188034,0.009661836,0.018518519
16/12/2014,1.21,-0.028117657,,0.008264463,-0.004784689,0
17/12/2014,1.22,-0.024054994,,-0.016393443,0.009615385,0
18/12/2014,1.2,0.01941732,,0.058333333,-0.004761905,0.018181818
19/12/2014,1.27,0.036782297,,0.005249344,0.003189793,0.003968254
20/12/2014,1.276666667,-0.025713115,,0.005221932,0.00317965,0.003952569
21/12/2014,1.283333333,0.034279019,,0.005194805,0.003169572,0.003937008
22/12/2014,1.29,0.008454456,,0.007751938,-0.004739336,0
23/12/2014,1.3,-0.035637672,,-0.030769231,0,-0.011764706
24/12/2014,1.26,-0.011692392,,0,-0.004761905,-0.00297619
25/12/2014,1.26,0.029833856,,0,-0.004784689,-0.002985075
26/12/2014,1.26,-0.039224759,,-0.01058201,0,-0.003992016
27/12/2014,1.246666667,0.005940481,,-0.010695188,0,-0.004008016
28/12/2014,1.233333333,-0.016374494,,-0.010810811,0,-0.004024145
29/12/2014,1.22,-0.005433756,,-0.008196721,-0.004807692,-0.006060606
30/12/2014,1.21,0.030176105,,0.049586777,0.009661836,0.024390244
31/12/2014,1.27,-0.018272846,,0.011811024,0.007177033,0.008928571
1/1/15,1.285,0.003409351,,0.011673152,0.007125891,0.008849558
2/1/15,1.3,-0.098262412,,-0.012820513,-0.014150943,-0.013645224
3/1/15,1.283333333,-0.07048066,,-0.012987012,-0.014354067,-0.013833992
4/1/15,1.266666667,0.039246634,,-0.013157895,-0.014563107,-0.014028056
5/1/15,1.25,0.041027789,,-0.072,-0.034482759,-0.048780488
6/1/15,1.16,0.028247066,,0,0.010204082,0.006410256
7/1/15,1.16,-0.035415724,,0.043103448,0.025252525,0.031847134
8/1/15,1.21,0.024366843,,-0.008264463,0.004926108,0
9/1/15,1.2,-0.054099749,,-0.011111111,-0.009803922,-0.010288066
10/1/15,1.186666667,-0.024816434,,-0.011235956,-0.00990099,-0.01039501
11/1/15,1.173333333,0.000223981,,-0.011363636,-0.01,-0.010504202
12/1/15,1.16,-0.167824886,,-0.094827586,0.025252525,-0.01910828
13/1/2015,1.05,-0.198131612,,0.123809524,-0.034482759,0.019480519
14/1/2015,1.18,0.177225314,,0,0.010204082,0.006369427
15/1/2015,1.18,-0.01259015,,0.008474576,0.015151515,0.012658228
16/1/2015,1.19,-0.041153432,,0,-0.002487562,-0.0015625
17/1/2015,1.19,0.056764637,,0,-0.002493766,-0.001564945
18/1/2015,1.19,0.019801416,,0,-0.0025,-0.001567398
19/1/2015,1.19,-0.016311155,,0,-0.002506266,-0.001569859
20/1/2015,1.19,0.073938028,,-0.016806723,0.030150754,0.012578616
21/1/2015,1.17,0.026243179,,0.017094017,-0.009756098,0
22/1/2015,1.19,0.000330711,,0.016806723,-0.019704433,-0.00621118
23/1/2015,1.21,0.064209627,,0.008264463,-0.001675042,0.002083333
